person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,cb_person_default_on_file_Y
9600,5.0,1000,11.14,0,0.1,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
9600,1.0,5500,12.87,1,0.57,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
65500,4.0,35000,15.23,1,0.53,2,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
54400,8.0,35000,14.27,1,0.55,4,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
9900,2.0,2500,7.14,1,0.25,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
77100,8.0,35000,12.42,1,0.45,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
78956,5.0,35000,11.11,1,0.44,4,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
83000,8.0,35000,8.9,1,0.42,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
10000,6.0,1600,14.74,1,0.16,3,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
85000,6.0,35000,10.37,1,0.41,4,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
10000,2.0,4500,8.63,1,0.45,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
95000,2.0,35000,7.9,1,0.37,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
108160,4.0,35000,18.39,1,0.32,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
115000,2.0,35000,7.9,0,0.3,4,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
500000,7.0,30000,10.65,0,0.06,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
120000,0.0,35000,7.9,0,0.29,4,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
92111,7.0,35000,20.25,1,0.32,4,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
113000,8.0,35000,18.25,1,0.31,4,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
10800,8.0,1750,10.99,1,0.16,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
162500,2.0,35000,7.49,0,0.22,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
137000,9.0,34800,16.77,0,0.25,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
65000,4.0,34000,17.58,1,0.52,4,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
10980,0.0,1500,7.29,0,0.14,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
80000,3.0,33950,14.54,1,0.42,4,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
67746,8.0,33000,12.68,1,0.49,3,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
11000,3.0,4575,17.74,1,0.42,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
11000,0.0,1400,9.32,0,0.13,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
65000,6.0,32500,9.99,1,0.5,3,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
11389,5.0,4000,12.84,1,0.35,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
11520,5.0,2000,11.12,1,0.17,3,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
120000,2.0,32000,6.62,0,0.27,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
95000,7.0,31050,14.17,1,0.33,3,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
306000,2.0,24250,13.85,0,0.08,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
300000,10.0,7800,13.49,0,0.03,4,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
12000,5.0,2500,7.51,1,0.21,4,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
48000,1.0,30000,18.39,1,0.63,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
64000,8.0,30000,14.54,1,0.47,3,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
75000,4.0,30000,16.89,1,0.4,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
62050,6.0,30000,17.99,1,0.41,2,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
12000,4.0,2500,12.69,1,0.21,3,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
300000,10.0,20000,7.88,0,0.07,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
300000,1.0,24250,19.41,0,0.08,2,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
300000,9.0,10000,10.38,0,0.03,4,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
300000,0.0,25000,15.33,0,0.08,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
300000,9.0,18000,16.45,0,0.06,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
80690,8.0,30000,7.49,1,0.37,3,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
66300,4.0,30000,12.69,1,0.38,3,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
89028,0.0,30000,6.62,1,0.34,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
78000,7.0,30000,18.62,1,0.38,3,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
92004,6.0,30000,15.23,1,0.33,3,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
97000,7.0,30000,10.65,1,0.31,2,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
120000,9.0,30000,7.9,0,0.25,4,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
280000,4.0,10000,15.96,0,0.04,3,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
277104,0.0,20000,11.48,0,0.07,3,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
128000,9.0,30000,7.29,0,0.23,4,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
131000,0.0,30000,5.99,0,0.23,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
275000,6.0,12000,11.58,0,0.04,2,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
221850,9.0,25000,15.7,1,0.1,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
70000,6.0,29100,15.99,1,0.42,3,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
12000,7.0,1500,14.84,0,0.13,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
260000,10.0,28000,10.99,0,0.11,3,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
259000,9.0,20000,14.42,0,0.08,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
255000,9.0,9600,6.99,0,0.04,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250000,2.0,25000,13.49,0,0.1,4,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
12000,6.0,3000,13.61,1,0.25,3,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
65000,2.0,28000,7.9,1,0.43,2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
85000,2.0,28000,7.49,1,0.33,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
12000,2.0,6100,7.51,1,0.51,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
88000,6.0,28000,9.91,1,0.32,3,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
12000,0.0,4200,13.48,1,0.35,4,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
12000,6.0,4750,7.14,1,0.4,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
83004,0.0,28000,15.99,1,0.34,4,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
250000,2.0,18000,12.98,0,0.07,3,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True
100000,5.0,28000,12.69,0,0.28,3,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
110000,10.0,28000,8.9,0,0.25,2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
151200,7.0,28000,11.11,0,0.19,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
12000,5.0,3250,15.68,1,0.27,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
70000,4.0,27500,13.06,1,0.39,3,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True
73200,5.0,27050,15.62,1,0.37,2,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
83000,5.0,27000,13.49,1,0.33,2,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
62500,7.0,26000,11.71,1,0.42,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
120000,1.0,25600,12.69,0,0.21,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
12360,2.0,1600,13.57,0,0.13,3,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
60000,0.0,25475,10.99,1,0.42,3,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
234000,3.0,20000,14.27,0,0.09,4,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
